question_id,type,chapter_slug,topic_slug,subtopic,stem,difficulty,skill,marks,neg_marks,est_time_sec,board_pattern,pyq_year,lang,status,source,parent_id,correct_option,answer_text,explanation,common_mistake,exam_focus,tags
CR-T3-017,match,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,"Match the reactants with the observation.
Column I:
1. Fe + CuSO₄ solution
2. BaCl₂ + Na₂SO₄ solutions
3. Pb(NO₃)₂ + KI solutions
4. Zn + dilute H₂SO₄
Column II:
P. Yellow precipitate
Q. Bubbles of gas
R. White precipitate
S. Blue solution turns light green",2,application,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,C,"1-S, 2-R, 3-P, 4-Q",Match each with its observed change.,,board,match;precipitation
CR-T3-018,case_based,chemical-reactions-and-equations,displacement-double-displacement,Double displacement,This reaction is a:,1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T3-01,B,Double displacement (precipitation) reaction,Ions are exchanged and a solid forms.,,board,case_based;double displacement
CR-T3-019,case_based,chemical-reactions-and-equations,displacement-double-displacement,Double displacement,The white insoluble substance is:,1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T3-01,B,Barium sulphate,BaSO₄ is insoluble.,,board,case_based;double displacement
CR-T3-020,case_based,chemical-reactions-and-equations,displacement-double-displacement,Double displacement,The other product of the reaction is:,2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T3-01,C,Sodium chloride,BaCl₂ + Na₂SO₄ → BaSO₄ + 2NaCl.,,board,case_based;double displacement
CR-T3-021,fill_blank,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,A reaction in which an insoluble solid is formed is called a ____ reaction.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,precipitation,The solid is a precipitate.,,board,fill_blank;precipitation
CR-T3-022,fill_blank,chemical-reactions-and-equations,displacement-double-displacement,Displacement,"In Zn + CuSO₄ → ZnSO₄ + Cu, the more reactive metal is ____.",1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,zinc|Zn,Zinc displaces copper.,,board,fill_blank;displacement
CR-T3-023,fill_blank,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,The yellow precipitate formed on mixing Pb(NO₃)₂ and KI solutions is ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,lead iodide|PbI₂,Lead iodide is yellow.,,board,fill_blank;precipitation
CR-T3-024,equation,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,"Write the balanced equation, with state symbols, for the reaction of barium chloride solution with sodium sulphate solution.",2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,BaCl₂(aq) + Na₂SO₄(aq) → BaSO₄(s) + 2NaCl(aq),"1 mark balanced, 1 mark state symbols.",,board,equation;precipitation
CR-T3-025,equation,chemical-reactions-and-equations,displacement-double-displacement,Displacement,"Write the balanced equation, with state symbols, for iron reacting with copper sulphate solution.",2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,Fe(s) + CuSO₄(aq) → FeSO₄(aq) + Cu(s),Already balanced. Watch state symbols.,,board,equation;displacement
CR-T3-026,equation,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,"Write the balanced equation, with state symbols, for lead nitrate solution reacting with potassium iodide solution.",2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,Pb(NO₃)₂(aq) + 2KI(aq) → PbI₂(s) + 2KNO₃(aq),Coefficient 2 on KI and KNO₃.,,board,equation;precipitation
CR-T3-027,short,chemical-reactions-and-equations,displacement-double-displacement,Double displacement,Differentiate between displacement and double displacement reactions with one example each.,2,recall,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Displacement: a more reactive element displaces a less reactive one, Fe + CuSO₄ → FeSO₄ + Cu (1). Double displacement: two compounds exchange ions, BaCl₂ + Na₂SO₄ → BaSO₄ + 2NaCl (1).",,,board,short;double displacement
CR-T3-028,short,chemical-reactions-and-equations,displacement-double-displacement,Displacement,What is observed when an iron nail is kept in copper sulphate solution for about 20 minutes? Write the equation.,2,application,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,The blue colour fades to light green (0.5) and a reddish-brown coating of copper forms on the nail (0.5). Fe + CuSO₄ → FeSO₄ + Cu (1).,,,board,short;displacement
CR-T3-029,long,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,"What is a precipitation reaction? Explain with an example, and show how neutralisation is a double displacement reaction.",3,reasoning,5,0,315,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Precipitation: an insoluble solid forms when solutions are mixed (1). Example: BaCl₂ + Na₂SO₄ → BaSO₄↓ + 2NaCl, white precipitate (2). Neutralisation: HCl + NaOH → NaCl + H₂O, ions exchange to give salt and water, so it is double displacement (2).",,,board;NTSE;foundation,long;precipitation
CR-T4-001,mcq,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,Oxidation involves:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Gain of oxygen or loss of hydrogen,Oxidation is gain of oxygen or loss of hydrogen. Reduction is the opposite.,Mixing up oxidation and reduction.,board,mcq;oxidation and reduction
CR-T4-002,mcq,chemical-reactions-and-equations,oxidation-reduction,Oxidising and reducing agents,"In CuO + H₂ → Cu + H₂O, the reducing agent is:",1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,H₂,H₂ removes oxygen from CuO and gets oxidised.,,board,mcq;oxidising and reducing agents
CR-T4-003,mcq,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,"In 2Cu + O₂ → 2CuO, the substance oxidised is:",1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Cu,Copper gains oxygen.,,board,mcq;oxidation and reduction
CR-T4-004,mcq,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,"When copper powder is heated in air, its surface turns:",1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Black,Black CuO forms.,,board,mcq;redox in activities
CR-T4-005,mcq,chemical-reactions-and-equations,oxidation-reduction,Redox identification,Which of the following is a redox reaction?,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,ZnO + C → Zn + CO,ZnO loses oxygen while C gains oxygen. The others involve no oxygen transfer.,,board,mcq;redox identification
CR-T4-006,mcq,chemical-reactions-and-equations,oxidation-reduction,Redox identification,"In ZnO + C → Zn + CO, the substance oxidised is:",2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,C,Carbon gains oxygen.,,board,mcq;redox identification
CR-T4-007,mcq,chemical-reactions-and-equations,oxidation-reduction,Oxidising and reducing agents,"In MnO₂ + 4HCl → MnCl₂ + 2H₂O + Cl₂, the oxidising agent is:",3,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,MnO₂,"MnO₂ loses oxygen and is reduced, so it is the oxidising agent.",,board;NTSE;foundation,mcq;oxidising and reducing agents
CR-T4-008,mcq,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,Oxidation and reduction reactions occur:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Simultaneously,What is oxidised and what is reduced always go together.,,board,mcq;oxidation and reduction
CR-T4-009,mcq,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,Black CuO on a hot copper plate turns brown when hydrogen is passed over it because CuO is:,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Reduced to copper,CuO loses oxygen to hydrogen and copper forms.,,board,mcq;redox in activities
CR-T4-010,mcq,chemical-reactions-and-equations,oxidation-reduction,Redox identification,"In Fe₂O₃ + 2Al → Al₂O₃ + 2Fe, the substance reduced is:",3,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Fe₂O₃,Fe₂O₃ loses oxygen to aluminium.,,board;NTSE;foundation,mcq;redox identification
CR-T4-011,mcq,chemical-reactions-and-equations,oxidation-reduction,Oxidising and reducing agents,"In 3Fe + 4H₂O → Fe₃O₄ + 4H₂, water acts as:",3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,An oxidising agent,"Fe gains oxygen from water, so water is reduced and acts as the oxidising agent.",,board;NTSE;foundation,mcq;oxidising and reducing agents
CR-T4-012,assertion_reason,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,"Assertion (A): Oxidation and reduction always occur together.
Reason (R): Oxygen lost by one substance is gained by another.",1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,R explains why the two processes are coupled.,,board,assertion_reason;oxidation and reduction
CR-T4-013,assertion_reason,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,"Assertion (A): Burning of magnesium in air is an oxidation reaction.
Reason (R): Magnesium oxide is a white powder.",2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Both A and R are true but R is not the correct explanation of A.,R is true but does not explain A.,,board,assertion_reason;oxidation and reduction
CR-T4-014,assertion_reason,chemical-reactions-and-equations,oxidation-reduction,Oxidising and reducing agents,"Assertion (A): Hydrogen is the oxidising agent in CuO + H₂ → Cu + H₂O.
Reason (R): Hydrogen gains oxygen to form water.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,D,A is false but R is true.,"Hydrogen is oxidised, so it is the reducing agent. A is false.",,board;NTSE;foundation,assertion_reason;oxidising and reducing agents
CR-T4-015,statement,chemical-reactions-and-equations,oxidation-reduction,Oxidising and reducing agents,"Consider the statements:
I. A substance that gets oxidised acts as a reducing agent.
II. A substance that gets reduced acts as an oxidising agent.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Both I and II are correct,Both are correct.,,board,statement;oxidising and reducing agents
CR-T4-016,statement,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,"Consider the statements:
I. Reduction is the gain of oxygen.
II. Oxidation is the loss of hydrogen.",2,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Only II is correct,Reduction is loss of oxygen or gain of hydrogen.,Reversing oxidation and reduction.,board,statement;oxidation and reduction
CR-T4-017,match,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,"Match the term with its meaning.
Column I:
1. Oxidation
2. Reduction
3. Oxidising agent
4. Reducing agent
Column II:
P. Loss of oxygen or gain of hydrogen
Q. Gain of oxygen or loss of hydrogen
R. Substance that gets reduced
S. Substance that gets oxidised",2,recall,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,B,"1-Q, 2-P, 3-R, 4-S",The agent is the substance that causes the change in the other.,,board,match;oxidation and reduction
CR-T4-018,case_based,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,The black substance formed on heating copper is:,1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T4-01,D,Copper(II) oxide,2Cu + O₂ → 2CuO.,,board,case_based;redox in activities
CR-T4-019,case_based,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,Heating copper in air is an example of:,2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T4-01,D,Oxidation,Copper gains oxygen.,,board,case_based;redox in activities
CR-T4-020,case_based,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,"In the second step, hydrogen acts as:",2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T4-01,D,A reducing agent,Hydrogen removes oxygen from CuO.,,board,case_based;redox in activities
CR-T4-021,fill_blank,chemical-reactions-and-equations,oxidation-reduction,Oxidising and reducing agents,A substance that gets reduced in a reaction is called an ____ agent.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,oxidising,Oxidising agent.,,board,fill_blank;oxidising and reducing agents
CR-T4-022,fill_blank,chemical-reactions-and-equations,oxidation-reduction,Oxidation and reduction,Addition of hydrogen to a substance is called ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,reduction,Reduction.,,board,fill_blank;oxidation and reduction
CR-T4-023,fill_blank,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,The compound formed when copper is heated in air is ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,copper(II) oxide|CuO|copper oxide,CuO is black.,,board,fill_blank;redox in activities
CR-T4-024,equation,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,Write the balanced equation for the heating of copper in air.,2,recall,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,2Cu + O₂ → 2CuO,"Coefficients 2, 1, 2.",,board,equation;redox in activities
CR-T4-025,equation,chemical-reactions-and-equations,oxidation-reduction,Redox identification,"Write the balanced equation, with state symbols, for the reaction of iron(III) oxide with aluminium.",2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,Fe₂O₃(s) + 2Al(s) → Al₂O₃(s) + 2Fe(l),"1 mark balanced, 1 mark state symbols.",,board,equation;redox identification
CR-T4-026,equation,chemical-reactions-and-equations,oxidation-reduction,Redox identification,"Write the balanced equation, with state symbols, for the reaction of zinc oxide with carbon.",2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,ZnO(s) + C(s) → Zn(s) + CO(g),Already balanced.,,board,equation;redox identification
CR-T4-027,short,chemical-reactions-and-equations,oxidation-reduction,Redox identification,What is a redox reaction? Give one example.,2,recall,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,A reaction in which oxidation and reduction occur together (1). Example: CuO + H₂ → Cu + H₂O (1).,,,board,short;redox identification
CR-T4-028,short,chemical-reactions-and-equations,oxidation-reduction,Redox identification,"For ZnO + C → Zn + CO, identify the substance oxidised, the substance reduced, the oxidising agent and the reducing agent.",2,application,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,Oxidised: C (0.5). Reduced: ZnO (0.5). Oxidising agent: ZnO (0.5). Reducing agent: C (0.5).,,,board,short;redox identification
CR-T4-029,long,chemical-reactions-and-equations,oxidation-reduction,Redox in activities,"Describe the activity that shows oxidation and reduction using copper, oxygen and hydrogen. Give observations, equations, and identify the substances oxidised and reduced.",3,application,5,0,315,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Heat copper powder: black CuO forms, 2Cu + O₂ → 2CuO, copper is oxidised (2). Pass H₂ over hot CuO: turns brown, CuO + H₂ → Cu + H₂O, CuO is reduced and H₂ is oxidised (2). Conclusion: oxidation and reduction occur together, redox (1).",,,board;NTSE;foundation,long;redox in activities
CR-T5-001,mcq,chemical-reactions-and-equations,corrosion,Rusting,Rust is chemically:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Hydrated iron(III) oxide,Rust is Fe₂O₃·xH₂O.,,board,mcq;rusting
CR-T5-002,mcq,chemical-reactions-and-equations,corrosion,Rusting,Rusting of iron requires:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Both air and moisture,Both oxygen and water must be present.,Thinking oxygen alone is enough.,board,mcq;rusting
CR-T5-003,mcq,chemical-reactions-and-equations,corrosion,Corrosion of other metals,The black coating formed on silver articles is:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Silver sulphide,Silver reacts with sulphur compounds in air.,,board,mcq;corrosion of other metals
CR-T5-004,mcq,chemical-reactions-and-equations,corrosion,Corrosion of other metals,The green coating formed on copper vessels is of:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Basic copper carbonate,Copper reacts with moist CO₂ in air.,,board,mcq;corrosion of other metals
CR-T5-005,mcq,chemical-reactions-and-equations,corrosion,Prevention methods,Galvanisation is the process of coating iron with:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Zinc,A zinc layer protects iron.,,board,mcq;prevention methods
CR-T5-006,mcq,chemical-reactions-and-equations,corrosion,Prevention methods,Which of the following does NOT help in preventing rusting?,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Dipping iron articles in salt solution,Salt speeds up rusting.,,board,mcq;prevention methods
CR-T5-007,mcq,chemical-reactions-and-equations,corrosion,Rusting,An iron nail will rust fastest in:,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Tap water exposed to air,Air and moisture are both present. The other set-ups lack one of them.,,board,mcq;rusting
CR-T5-008,mcq,chemical-reactions-and-equations,corrosion,Prevention methods,Stainless steel is an alloy of iron with:,2,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Chromium and nickel,Chromium and nickel make it resistant to corrosion.,,board,mcq;prevention methods
CR-T5-009,mcq,chemical-reactions-and-equations,corrosion,Corrosion of other metals,Silver articles turn black in air because silver reacts with:,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Sulphur compounds in air,Ag₂S forms.,,board,mcq;corrosion of other metals
CR-T5-010,mcq,chemical-reactions-and-equations,corrosion,Prevention methods,Painting an iron gate prevents rusting because paint:,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Stops contact of iron with air and moisture,Paint acts as a barrier.,,board,mcq;prevention methods
CR-T5-011,mcq,chemical-reactions-and-equations,corrosion,Prevention methods,A galvanised iron sheet remains protected even when scratched because zinc:,3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Is more reactive than iron and corrodes first,Zinc acts as a sacrificial coating.,,board;NTSE;foundation,mcq;prevention methods
CR-T5-012,mcq,chemical-reactions-and-equations,corrosion,Rusting,"When an iron nail rusts completely, its mass:",3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Increases,Oxygen and water are added to the iron.,Assuming rusting reduces the mass.,board;NTSE;foundation,mcq;rusting
CR-T5-013,assertion_reason,chemical-reactions-and-equations,corrosion,Rusting,"Assertion (A): Rusting of iron is a chemical change.
Reason (R): A new substance with different properties is formed.",1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,Formation of a new substance defines a chemical change.,,board,assertion_reason;rusting
CR-T5-014,assertion_reason,chemical-reactions-and-equations,corrosion,Corrosion of other metals,"Assertion (A): Silver articles turn black when kept in air for a long time.
Reason (R): Silver reacts with oxygen to form silver oxide.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,C,A is true but R is false.,"The black coating is silver sulphide, so R is false.",,board;NTSE;foundation,assertion_reason;corrosion of other metals
CR-T5-015,assertion_reason,chemical-reactions-and-equations,corrosion,Rusting,"Assertion (A): Corrosion of iron requires only oxygen.
Reason (R): Both air and moisture are necessary for rusting of iron.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,D,A is false but R is true.,"Moisture is also required, so A is false.",,board;NTSE;foundation,assertion_reason;rusting
CR-T5-016,statement,chemical-reactions-and-equations,corrosion,Rusting,"Consider the statements:
I. Rusting requires air and moisture.
II. Corrosion is a physical change.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Only I is correct,Corrosion is a chemical change.,,board,statement;rusting
CR-T5-017,statement,chemical-reactions-and-equations,corrosion,Prevention methods,"Consider the statements:
I. Stainless steel is an alloy.
II. Alloying can prevent corrosion.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Both I and II are correct,Both are correct.,,board,statement;prevention methods
CR-T5-018,match,chemical-reactions-and-equations,corrosion,Corrosion of other metals,"Match the metal with its corrosion effect.
Column I:
1. Iron
2. Silver
3. Copper
4. Aluminium
Column II:
P. Black coating of silver sulphide
Q. Brown hydrated iron oxide (rust)
R. Green coating of basic copper carbonate
S. Thin protective oxide layer",2,application,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,C,"1-Q, 2-P, 3-R, 4-S",Each metal has a typical corrosion product.,,board,match;corrosion of other metals
CR-T5-019,case_based,chemical-reactions-and-equations,corrosion,Experiments,In which test tube does the nail rust?,1,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T5-01,A,Tube A,Only A has both air and water.,,board,case_based;experiments
CR-T5-020,case_based,chemical-reactions-and-equations,corrosion,Experiments,The layer of oil in Tube B is used to:,2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T5-01,B,Prevent air (oxygen) from dissolving in the water,"Boiling removes dissolved air, and oil stops it re-entering.",,board,case_based;experiments
CR-T5-021,case_based,chemical-reactions-and-equations,corrosion,Experiments,Anhydrous calcium chloride in Tube C:,2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T5-01,D,Absorbs moisture from the air,It keeps the air dry.,,board,case_based;experiments
CR-T5-022,fill_blank,chemical-reactions-and-equations,corrosion,Prevention methods,Coating iron with a thin layer of zinc is called ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,galvanisation|galvanising,Zinc coating.,,board,fill_blank;prevention methods
CR-T5-023,fill_blank,chemical-reactions-and-equations,corrosion,Corrosion of other metals,The black coating formed on silver articles is ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,silver sulphide|Ag₂S,Ag₂S.,,board,fill_blank;corrosion of other metals
CR-T5-024,fill_blank,chemical-reactions-and-equations,corrosion,Rusting,Rusting of iron needs both ____ and moisture.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,air|oxygen,Air and moisture.,,board,fill_blank;rusting
CR-T5-025,equation,chemical-reactions-and-equations,corrosion,Rusting,Write the word equation for the formation of rust.,2,recall,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,Iron + oxygen + water → hydrated iron(III) oxide (rust),Accept the formula Fe₂O₃·xH₂O.,,board,equation;rusting
CR-T5-026,equation,chemical-reactions-and-equations,corrosion,Rusting,Write the balanced equation for the reaction of iron with oxygen to form iron(III) oxide.,2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,4Fe + 3O₂ → 2Fe₂O₃,"Coefficients 4, 3, 2.",,board,equation;rusting
CR-T5-027,equation,chemical-reactions-and-equations,corrosion,Corrosion of other metals,Write the balanced equation for the reaction of aluminium with oxygen to form its protective oxide layer.,2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,4Al + 3O₂ → 2Al₂O₃,"Coefficients 4, 3, 2.",,board,equation;corrosion of other metals
CR-T5-028,short,chemical-reactions-and-equations,corrosion,Rusting,Define corrosion. Give two examples.,2,recall,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Corrosion is the slow eating away of metals by air, moisture or chemicals (1). Examples: rusting of iron, black coating on silver, green coating on copper (1).",,,board,short;rusting
CR-T5-029,short,chemical-reactions-and-equations,corrosion,Prevention methods,Mention three methods of preventing the rusting of iron.,2,recall,3,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Any three: painting, oiling or greasing, galvanisation, alloying (for example stainless steel), electroplating (1 mark each).",,,board,short;prevention methods
CR-T5-030,long,chemical-reactions-and-equations,corrosion,Experiments,Describe an experiment to show that both air and water are necessary for the rusting of iron.,3,application,5,0,315,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Three tubes with iron nails: A (tap water, open air, nail rusts), B (boiled water with oil layer, no air, no rust), C (anhydrous CaCl₂, dry air, no rust) (3). Observation after several days, conclusion: both air and moisture are necessary (2).",,,board;NTSE;foundation,long;experiments
CR-T6-001,mcq,chemical-reactions-and-equations,rancidity,Meaning and cause,Rancidity is caused by:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Oxidation of fats and oils,Fats and oils react with oxygen.,,board,mcq;meaning and cause
CR-T6-002,mcq,chemical-reactions-and-equations,rancidity,Prevention,Chips manufacturers flush packets with nitrogen to:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Prevent oxidation of fats and oils,Nitrogen displaces oxygen from the pack.,,board,mcq;prevention
CR-T6-003,mcq,chemical-reactions-and-equations,rancidity,Prevention,Substances added to fat-containing foods to slow down oxidation are called:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Antioxidants,Antioxidants slow down rancidity.,,board,mcq;prevention
CR-T6-004,mcq,chemical-reactions-and-equations,rancidity,Meaning and cause,Rancidity is most likely to occur in:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Butter kept open in a warm room,"Fatty foods with air, warmth and time turn rancid.",,board,mcq;meaning and cause
CR-T6-005,mcq,chemical-reactions-and-equations,rancidity,Effects,A food that has turned rancid shows:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Unpleasant smell and taste,Oxidation forms foul-smelling compounds.,,board,mcq;effects
CR-T6-006,mcq,chemical-reactions-and-equations,rancidity,Prevention,Which of the following will NOT help in preventing rancidity?,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Storing food in an open container in a warm place,Air and warmth speed up oxidation.,,board,mcq;prevention
CR-T6-007,mcq,chemical-reactions-and-equations,rancidity,Prevention,Refrigeration delays rancidity because low temperature:,3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Slows down the rate of oxidation,Lower temperature reduces reaction rate.,,board;NTSE;foundation,mcq;prevention
CR-T6-008,mcq,chemical-reactions-and-equations,rancidity,Applications,"Why is nitrogen, and not oxygen, used to flush chip packets?",3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Nitrogen is unreactive and does not oxidise the chips,An unreactive atmosphere prevents oxidation.,,board;NTSE;foundation,mcq;applications
CR-T6-009,mcq,chemical-reactions-and-equations,rancidity,Meaning and cause,Cooking oil left open for months develops a bad smell. This is an example of:,1,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Rancidity,Oxidation of oil causes rancidity.,,board,mcq;meaning and cause
CR-T6-010,mcq,chemical-reactions-and-equations,rancidity,Applications,Rancidity occurs faster in summer than in winter because:,3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Higher temperature increases the rate of oxidation,Higher temperature increases reaction rate.,,board;NTSE;foundation,mcq;applications
CR-T6-011,mcq,chemical-reactions-and-equations,rancidity,Applications,Which change in a chip packet would most quickly lead to rancidity?,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,A small hole letting air enter,Air contact brings oxygen.,,board,mcq;applications
CR-T6-012,assertion_reason,chemical-reactions-and-equations,rancidity,Prevention,"Assertion (A): Chips packets are flushed with nitrogen gas.
Reason (R): Nitrogen prevents oxidation of fats and oils in the chips.",1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,R explains A.,,board,assertion_reason;prevention
CR-T6-013,assertion_reason,chemical-reactions-and-equations,rancidity,Prevention,"Assertion (A): Antioxidants are added to foods containing fats and oils.
Reason (R): Nitrogen is an inert gas.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Both A and R are true but R is not the correct explanation of A.,"Both are true, but R does not explain A.",,board;NTSE;foundation,assertion_reason;prevention
CR-T6-014,assertion_reason,chemical-reactions-and-equations,rancidity,Meaning and cause,"Assertion (A): Rancidity occurs when foods containing sugar are oxidised.
Reason (R): Rancidity is the oxidation of fats and oils in food.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,D,A is false but R is true.,"Rancidity involves fats and oils, not sugar, so A is false.",,board;NTSE;foundation,assertion_reason;meaning and cause
CR-T6-015,statement,chemical-reactions-and-equations,rancidity,Effects,"Consider the statements:
I. Rancidity spoils the smell and taste of foods containing fats and oils.
II. Storing food in airtight containers can delay rancidity.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Both I and II are correct,Both are correct.,,board,statement;effects
